Item,Footprint,FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
soy burger,1.48,soy meal defatted,338.0,47.075,2.39,38.015,0.0,0.0,2.0,0.569,0.0,0.0,0.0,303.0,2.587,0.251,0.691,244.0,2.0,13.7,306.0,3.8,701.0,3.3,5.06
tofu,2.333,mori nu tofu,49.4,6.480000000000001,1.7600000000000002,1.88,0.8880000000000001,0.06,0.0,0.0066,0.0,0.0,0.0,0.0,0.2004,0.031,0.0699999999999999,34.6,0.172,0.916,20.6,0.0,83.2,0.0,0.4640000000000001
soy yogurt,1.36,soy meal defatted,338.0,47.075,2.39,38.015,0.0,0.0,2.0,0.569,0.0,0.0,0.0,303.0,2.587,0.251,0.691,244.0,2.0,13.7,306.0,3.8,701.0,3.3,5.06
wine red,1.020266667,wine  red,85.0,0.07,0.0,2.61,0.62,0.0,0.0,0.057,0.0,0.0,0.0,1.0,0.224,0.031,0.005,8.0,0.011,0.46,12.0,0.132,23.0,0.2,0.14
wine white,0.7441,wine  white,85.28571428571429,0.07,0.0,4.238571428571428,0.1371428571428571,0.0,0.0,0.0071428571428571,0.0,0.0,0.0,0.0714285714285714,0.0154285714285714,0.0021428571428571,0.0007142857142857,1.2857142857142858,0.0005714285714285,0.0385714285714285,1.4285714285714286,0.0167142857142857,2.571428571428572,0.0142857142857142,0.0171428571428571
yeast compressed,0.824,leavening agents yeast,215.0,24.42,4.755,29.66,0.0,17.5,0.0,0.965,0.04,0.2,0.0,1562.5,26.25,2.565,6.4350000000000005,24.5,0.292,2.71,47.0,0.256,486.5,8.0,8.955
yeast dried,3.294,leavening agents yeast,215.0,24.42,4.755,29.66,0.0,17.5,0.0,0.965,0.04,0.2,0.0,1562.5,26.25,2.565,6.4350000000000005,24.5,0.292,2.71,47.0,0.256,486.5,8.0,8.955
yeast liquid,0.503,leavening agents yeast,215.0,24.42,4.755,29.66,0.0,17.5,0.0,0.965,0.04,0.2,0.0,1562.5,26.25,2.565,6.4350000000000005,24.5,0.292,2.71,47.0,0.256,486.5,8.0,8.955
beef bone free meat,27.72327180145614,game meat bear,210.0,26.26,10.845,0.0,0.0,0.0,0.0,0.145,1.235,0.0,0.245,3.0,3.2750000000000004,0.75,0.13,4.0,0.074,8.690000000000001,11.5,0.0,160.5,9.75,5.135
beef meat with bone,19.54409099,luncheon meat pork with ham,315.0,13.4,26.6,4.6,0.0,0.0,0.0,0.218,0.45,0.0,0.42,3.0,3.53,0.176,0.317,0.0,0.051,0.64,14.0,0.0,151.0,22.9,1.59
buffalo bone free meat,71.39276803,game meat bear,210.0,26.26,10.845,0.0,0.0,0.0,0.0,0.145,1.235,0.0,0.245,3.0,3.2750000000000004,0.75,0.13,4.0,0.074,8.690000000000001,11.5,0.0,160.5,9.75,5.135
butter,9.900066667,croissants butter,406.0,8.2,21.0,45.8,11.26,2.6,206.0,0.058,0.16,0.2,0.84,130.0,2.188,0.241,0.388,37.0,0.08,2.03,16.0,0.33,105.0,22.7,0.75
cream,5.342395344,cream fluid,240.5,2.47,24.68,3.4275,3.4275,0.0,242.0,0.03125,0.2324999999999999,0.7250000000000001,0.7050000000000001,3.25,0.054,0.133,0.0282499999999999,83.75,0.00775,0.0425,8.25,0.001,74.5,0.85,0.315
mozzarella,8.475714286,cheese mozzarella,271.1428571428572,25.062857142857144,17.064285714285713,4.064285714285715,1.4800000000000002,0.2571428571428572,182.1428571428572,0.0787142857142857,1.26,0.0,0.25,13.857142857142858,0.1197142857142857,0.3158571428571428,0.0274285714285714,712.2857142857143,0.0267142857142857,0.2685714285714285,25.857142857142858,0.0187142857142857,497.57142857142856,19.385714285714283,3.2014285714285715
ricotta,3.4,cheese cottage,80.88888888888889,11.28777777777778,2.103333333333333,3.781111111111111,2.476666666666667,0.1,27.11111111111111,0.055,0.5288888888888889,1.0444444444444445,0.0333333333333333,11.444444444444445,0.1204444444444444,0.1696666666666667,0.0204444444444444,68.88888888888889,0.0302222222222222,0.1255555555555555,6.444444444444445,0.005,141.11111111111111,8.233333333333333,0.381111111111111
asiago,10.24,cheese american cheddar,239.0,16.7,14.0,11.6,7.74,0.0,114.0,0.12,0.4,0.0,0.27,7.0,0.13,0.43,0.05,562.0,0.033,0.33,29.0,0.0,712.0,15.2,2.59
