,Type,Name,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_2,Refuse_Pct
3208,SHALLOTS,FREEZE-DRIED,2.0,348.0,12.3,0.5,4.5,80.7,15.7,38.16,183.0,6.0,104.0,296.0,1650.0,59.0,1.93,0.425,1.417,5.7,39.0,0.3,0.1,1.0,1.408,1.675,116.0,0.0,116.0,116.0,55.0,0.0,21.0,1.0,0.0,0.0,13.0,0.0,0.0,38.0,0.18,0.0,0.0,3.9,0.084,0.07,0.196,0.0,0.9,3.6,0.0
3209,SHALLOTS,RAW,79.8,72.0,2.5,0.1,0.8,16.8,3.2,7.87,37.0,1.2,21.0,60.0,334.0,12.0,0.4,0.088,0.292,1.2,8.0,0.06,0.02,0.2,0.29,0.345,34.0,0.0,34.0,34.0,11.3,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.04,0.0,0.0,0.8,0.017,0.014,0.039,0.0,10.0,0.0,12.0
3210,SHARK,MIXED SPECIES,73.58,130.0,20.98,4.51,1.39,0.0,0.0,0.0,34.0,0.84,49.0,210.0,160.0,79.0,0.43,0.033,0.015,36.5,0.0,0.042,0.062,2.938,0.695,0.4,3.0,0.0,3.0,3.0,65.0,1.49,233.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,24.0,0.1,0.925,1.808,1.195,51.0,85.0,0.0,0.0
3211,SHARK,MXD SP,60.09,228.0,18.62,13.82,1.25,6.39,0.0,0.0,50.0,1.11,43.0,194.0,155.0,122.0,0.48,0.042,0.05,34.0,0.0,0.072,0.097,2.783,0.62,0.3,15.0,10.0,5.0,22.0,0.0,1.21,180.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.205,5.935,3.701,59.0,85.0,0.0,0.0
3212,SHEEPSHEAD,CKD,69.04,126.0,26.02,1.63,1.44,0.0,0.0,0.0,37.0,0.67,35.0,350.0,512.0,73.0,0.63,0.122,0.021,51.3,0.0,0.01,0.05,1.8,0.87,0.35,17.0,0.0,17.0,17.0,0.0,2.3,115.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.35,0.382,64.0,85.0,186.0,0.0
3213,SHEEPSHEAD,RAW,77.97,108.0,20.21,2.41,1.09,0.0,0.0,0.0,21.0,0.46,32.0,313.0,404.0,71.0,0.39,0.031,0.013,36.5,0.0,0.01,0.04,1.5,0.75,0.3,15.0,0.0,15.0,15.0,0.0,2.0,100.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609,0.728,0.518,50.0,85.0,238.0,0.0
3214,SHERBET,ORANGE,66.1,144.0,1.1,2.0,0.4,30.4,1.3,24.32,54.0,0.14,8.0,40.0,96.0,46.0,0.48,0.028,0.011,1.5,2.3,0.027,0.097,0.063,0.224,0.023,4.0,0.0,4.0,4.0,7.7,0.13,46.0,12.0,12.0,0.0,1.0,5.0,0.0,7.0,0.01,0.0,0.0,0.0,1.16,0.53,0.08,1.0,74.0,66.0,0.0
3215,SHORTENING,CONFECTIONERY,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,65.5,29.6,0.5,0.0,13.6,218.0,0.0
3216,SHORTENING,HOUSEHOLD,0.0,892.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.565,0.0,0.0,32.25,32.65,44.45,18.5,28.0,12.8,205.0,0.0
3217,SHORTENING,INDUS,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.115,0.0,0.0,33.85,18.573,54.9465,21.7045,0.0,13.2,211.5,0.0
3218,SHORTENING,INDUSTRIAL,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0,43.0,17.416,40.824,36.038,0.0,12.8,205.0,0.0
3219,SHORTENING,MULTIPURPOSE,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.423,50.973,14.204,0.0,12.8,205.0,0.0
3220,SHORTENING,SPL PURPOSE FOR BAKING,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0,43.0,28.843,29.583,37.174,0.0,12.8,205.0,0.0
3221,SHORTENING,SPL PURPOSE FOR CAKES&FROSTINGS,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0,43.0,20.001,36.555,37.991,0.0,12.8,205.0,0.0
3222,SHORTENING,VEG,0.0,884.0,0.0,99.97,0.03,0.0,0.0,0.0,1.0,0.07,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.68,0.001,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0,53.2,24.98,41.186,28.097,0.0,12.8,205.0,0.0
3223,SHORTENING BREAD,SOYBN (HYDR)&CTTNSD,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0,0.0,22.0,33.0,40.6,0.0,12.8,205.0,0.0
3224,SHORTENING CAKE MIX,SOYBN (HYDR)&CTTNSD (HYDR),0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0,43.0,27.2,54.2,14.1,0.0,12.8,205.0,0.0
3225,SHORTENING CONFECTIONERY,COCNT (HYDR)&OR PALM KERNEL (HYDR),0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,0.0,43.0,91.3,2.2,1.0,0.0,12.8,205.0,0.0
3226,SHORTENING FRYING (HVY DUTY),BF TALLOW&CTTNSD,0.0,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,44.9,38.5,8.8,100.0,12.8,205.0,0.0
3227,SHORTENING FRYING (HVY DUTY),PALM (HYDR),0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,47.5,40.6,7.5,0.0,12.8,205.0,0.0
3228,SHORTENING FRYING HVY DUTY,SOYBN HYDR,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0,43.0,21.1,73.7,0.4,0.0,12.8,205.0,0.0
3229,SHORTENING HOUSEHOLD SOYBN (HYDR)&PALM,0,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.02,42.51,26.64,0.0,12.8,205.0,0.0
3230,SHORTENING INDUSTRIAL,LARD&VEG OIL,0.0,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.7,40.7,19.2,56.0,12.8,205.0,0.0
3231,SHORTENING INDUSTRIAL,SOYBN (HYDR)&CTTNSD,0.0,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0,0.0,43.0,25.6,58.0,12.0,0.0,12.8,205.0,0.0
3232,SHRIMP,MXD SP,67.87333333333332,147.66666666666666,18.066666666666666,5.036666666666666,2.2133333333333334,6.866666666666667,0.13333333333333333,0.26666666666666666,77.0,1.3299999999999998,38.666666666666664,231.66666666666666,131.33333333333334,639.6666666666666,1.2233333333333334,0.18933333333333335,0.169,37.36666666666667,1.8666666666666665,0.05333333333333334,0.061666666666666675,1.266,0.18699999999999997,0.046000000000000006,14.666666666666666,3.0,11.333333333333334,16.666666666666668,57.366666666666674,1.4033333333333335,85.0,25.333333333333332,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.8000000000000002,0.03333333333333333,1.6666666666666667,0.3333333333333333,0.8550000000000001,1.38,2.173,142.0,99.33333333333333,19.45,0.0
3233,SIDE DISHES,POTATO SALAD,78.73,114.0,1.53,6.03,0.68,13.53,0.0,0.0,14.0,0.73,8.0,56.0,270.0,328.0,0.2,0.079,0.074,0.9,1.1,0.07,0.11,0.27,0.37,0.15,25.0,0.0,25.0,25.0,0.0,0.12,100.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,1.69,3.02,60.0,95.0,0.0,0.0
3234,SILK BANANA-STRAWBERRY SOY YOGURT,0,78.18,88.0,2.35,1.18,1.24,17.06,0.6,10.59,176.0,0.64,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0
3235,SILK BLACK CHERRY SOY YOGURT,0,78.18,88.0,2.35,1.18,1.24,17.06,0.6,11.76,176.0,0.64,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0
3236,SILK BLUEBERRY SOY YOGURT,0,78.18,88.0,2.35,1.18,1.24,17.06,0.6,12.35,176.0,0.64,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0
3237,SILK CHAI,SOYMILK,87.62,53.0,2.47,1.44,0.65,7.82,0.0,5.76,123.0,0.44,0.0,0.0,123.0,41.0,0.37,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.37,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,33.0,0.0,0.206,0.0,0.0,0.0,243.0,0.0,0.0
3238,SILK CHOC,SOYMILK,86.39,58.0,2.06,1.44,0.65,9.47,0.8,7.82,123.0,0.59,16.0,0.0,144.0,41.0,0.25,0.0,0.0,1.7,0.0,0.0,0.21,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.23,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,49.0,0.0,0.206,0.0,0.0,0.0,243.0,0.0,0.0
3239,SILK COFFEE,SOYMILK,85.56,62.0,2.06,1.44,0.65,10.29,0.0,9.47,123.0,0.0,0.0,0.0,132.0,41.0,0.37,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.37,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.0,0.0,0.0,243.0,0.0,0.0
3240,SILK FRENCH VANILLA CREAMER,0,72.95,133.0,0.0,6.67,0.38,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
3241,SILK HAZELNUT CREAMER,0,72.95,133.0,0.0,6.67,0.38,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
3242,SILK KEY LIME SOY YOGURT,0,77.59,88.0,2.35,1.18,1.24,17.65,0.6,12.35,176.0,0.64,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0
3243,SILK LT CHOC,SOYMILK,87.63,49.0,2.06,0.62,0.64,9.05,0.8,7.82,123.0,0.59,16.0,0.0,144.0,41.0,0.25,0.0,0.0,1.7,0.0,0.0,0.21,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.23,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,49.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0
3244,SILK LT PLN,SOYMILK,92.77,29.0,2.47,0.82,0.64,3.29,0.4,2.47,123.0,0.44,16.0,0.0,123.0,49.0,0.25,0.0,0.0,2.3,0.0,0.0,0.21,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.23,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,49.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0
3245,SILK LT VANILLA,SOYMILK,91.95,33.0,2.47,0.82,0.64,4.12,0.4,2.88,123.0,0.44,16.0,0.0,123.0,39.0,0.25,0.0,0.0,2.3,0.0,0.0,0.21,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.23,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,49.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0
3246,SILK MOCHA,SOYMILK,86.8,58.0,2.06,1.44,0.65,9.05,0.0,7.41,123.0,0.44,0.0,0.0,123.0,41.0,0.37,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.37,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.0,0.0,0.0,243.0,0.0,0.0
3247,SILK NOG,SOYMILK,82.96,74.0,2.46,1.64,0.65,12.3,0.0,9.84,16.0,0.3,0.0,0.0,123.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0
3248,SILK ORIGINAL CREAMER,0,86.29,100.0,0.0,6.67,0.38,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
3249,SILK PEACH SOY YOGURT,0,76.41,94.0,2.35,1.18,1.24,18.82,0.6,14.71,176.0,0.64,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0
3250,SILK PLN,SOYMILK,91.53,41.0,2.88,1.65,0.65,3.29,0.4,2.47,123.0,0.44,16.0,0.0,123.0,49.0,0.25,0.0,0.0,2.3,0.0,0.0,0.21,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.23,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,49.0,0.0,0.206,0.0,0.0,0.0,243.0,0.0,0.0
3251,SILK PLN SOY YOGURT,0,84.67,66.0,2.64,1.76,1.24,9.69,0.4,5.29,132.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,53.0,0.0,0.22,0.0,0.0,0.0,227.0,0.0,0.0
3252,SILK PLUS FIBER,SOYMILK,89.69,41.0,2.47,1.44,0.64,5.76,2.1,2.88,123.0,0.44,16.0,0.0,123.0,39.0,0.25,0.0,0.0,2.3,0.0,0.0,0.21,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.23,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,49.0,0.0,0.206,0.0,0.0,0.0,243.0,0.0,0.0
3253,SILK PLUS FOR BONE HEALTH,SOYMILK,90.92,41.0,2.47,1.44,0.64,4.53,0.8,2.88,165.0,0.44,16.0,0.0,123.0,39.0,0.25,0.0,0.0,2.3,0.0,0.0,0.21,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.23,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,49.0,0.0,0.206,0.0,0.0,0.0,243.0,0.0,0.0
3254,SILK PLUS OMEGA-3 DHA,SOYMILK,91.13,45.0,2.88,2.06,0.64,3.29,0.4,2.47,144.0,0.44,16.0,0.0,144.0,49.0,0.25,0.0,0.0,2.3,0.0,0.0,0.21,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.23,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,49.0,0.0,0.206,0.0,0.0,0.0,243.0,0.0,0.0
3255,SILK RASPBERRY SOY YOGURT,0,77.59,88.0,2.35,1.18,1.24,17.65,0.6,12.94,176.0,0.64,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0
3256,SILK STRAWBERRY SOY YOGURT,0,77.0,94.0,2.35,1.18,1.24,18.24,0.6,12.94,176.0,0.64,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0
3257,SILK UNSWTND,SOYMILK,93.18,33.0,2.88,1.65,0.64,1.65,0.4,0.41,123.0,0.44,16.0,0.0,123.0,35.0,0.25,0.0,0.0,2.3,0.0,0.0,0.21,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.23,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,0.0,0.0,0.0,243.0,0.0,0.0
3258,SILK VANILLA,SOYMILK,91.32,41.0,2.47,1.44,0.65,4.12,0.4,2.88,123.0,0.44,16.0,0.0,123.0,39.0,0.25,0.0,0.0,2.3,0.0,0.0,0.21,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.23,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,49.0,0.0,0.206,0.0,0.0,0.0,243.0,0.0,0.0
3259,SILK VANILLA SOY YOGURT (FAMILY SIZE),0,80.7,79.0,2.64,1.76,1.24,13.66,0.4,10.57,132.0,0.48,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,53.0,0.0,0.22,0.0,0.0,0.0,227.0,0.0,0.0
3260,SILK VANILLA SOY YOGURT (SINGLE SERVING SIZE),0,79.35,88.0,2.94,1.76,1.24,14.71,0.6,10.59,176.0,0.85,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0
3261,SILK VERY VANILLA,SOYMILK,87.41,53.0,2.47,1.65,0.65,7.82,0.4,6.58,144.0,0.44,16.0,0.0,123.0,58.0,0.62,0.0,0.0,2.3,8.6,0.0,0.21,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.23,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,49.0,0.0,0.206,0.0,0.0,0.0,243.0,0.0,0.0
3262,SISYMBRIUM SP. SEEDS,WHL,6.1,318.0,12.14,4.6,18.9,58.26,0.0,0.0,1633.0,0.11,314.0,6.0,2130.0,92.0,0.3,0.11,1.512,0.0,30.7,0.191,0.423,16.825,0.997,0.778,95.0,0.0,95.0,95.0,0.0,0.0,63.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.902,1.486,2.023,0.0,74.0,28.35,0.0
3263,SMART SOUP,FRENCH LENTIL,85.5,53.0,2.9,1.06,1.1,9.5,2.9,2.6,23.0,1.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0
3264,SMART SOUP,GREEK MINESTRONE,88.3,40.0,1.7,0.53,1.0,8.4,2.7,2.7,21.0,1.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0
3265,SMART SOUP,INDIAN BEAN MASALA,84.3,57.0,3.3,0.88,1.1,10.5,2.6,2.3,22.0,1.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,283.0,0.0,0.0
3266,SMART SOUP,MOROCCAN CHICK PEA,86.4,51.0,2.0,1.06,0.8,9.7,3.1,4.2,23.0,1.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,283.0,0.0,0.0
3267,SMART SOUP,SANTA FE CORN CHOWDER,85.3,55.0,2.0,0.71,0.8,11.2,2.0,3.6,23.0,1.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0
