Item,Footprint,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
bread pita,0.797533333,272,9.333333333,1.666666667,55.46666667,0.706666667,3.933333333,0,0.111,0,0,0.303333333,74.66666667,3.204666667,0.168,0.401666667,62.33333333,0.208666667,2.36,40.33333333,0.900666667,124.6666667,23.7,1.066666667
bread potato,0.854880238,266,12.5,3.13,47.07,9.38,6.3,24,0.232,0.15,0,0.47,149,1.25,0.106,0.188,188,0.094,2.25,28,0.253,369,9.5,1.44
bread pound cake type,1.48,390,7.06,17.45,51.29,18.1,1.7,0,0.05,0,0,1.42,0,4.7,0.18,0.07,46,0.03,2.2,19,0.26,300,13.5,0.62
bread protein,2.333,270,13.2,2.4,48.1,1.44,3.3,0,0.07,0,0,0.36,149,4.241,0.389,0.317,136,0.205,4.56,56,0.803,189,36.2,1.17
bread protein includes gluten,1.36,245,12.1,2.2,43.8,1.44,3,0,0.071,0,0,0.36,173,4.289,0.394,0.36,124,0.417,4.15,65,1.472,185,32.9,1.82
bread pumpernickel,1.020266667,262.5,9.1,3.25,49.85,0.555,6.8,0,0.125,0,0,0.44,131.5,3.074,0.303,0.307,71,0.301,3.01,57,1.3695,186.5,25.7,1.55
bread raisin,0.7441,281.6666667,8.133333333,4.533333333,53.83333333,3.953333333,4.433333333,0,0.068666667,0,0.2,0.196666667,112.6666667,2.784,0.320333333,0.27,68,0.203666667,2.626666667,26.66666667,0.515666667,112,13.9,0.74
bread reduced calorie,0.824,212.8333333,9.37,3.136666667,43.51166667,3.08,9.85,0,0.069,0.07,0.2,0.22,109.1666667,3.462166667,0.228166667,0.361166667,95.5,0.195166667,3.066666667,37,0.783333333,121.8333333,24.68333333,1.07
bread rice bran,3.294,253.5,9.3,4.8,45.4,4.875,5.1,0,0.238,0,0,0.68,121.5,6.736,0.2965,0.6105,72,0.183,3.765,78,1.553,176,29.95,1.345
bread roll,0.503,318,10.65,5.8,55.77,3.55,2.2,1,0.105,0.13,0.2,0,176,5.585,0.43,0.68,41,0.135,3.9,30,0.68,111,38.8,0.88
bread rye,27.7232718,271.5,8.95,3.45,50.7,4.04,6.1,0,0.0745,0,0.3,0.35,149.5,3.784,0.3335,0.408,76.5,0.195,2.965,41.5,0.8645,131.5,32.45,1.195
bread wheat,19.54409099,272.6666667,11.44666667,3.22,49.45333333,5.776666667,5.966666667,0,0.114666667,0,0.133333333,0.27,120.3333333,5.441666667,0.296666667,0.454666667,327.3333333,0.168666667,4.156666667,43.33333333,1.062666667,146.6666667,26.1,1.203333333
bread wheat bran,71.39276803,248,8.8,3.4,47.8,9.68,4,0,0.176,0,0,0.32,161,4.402,0.287,0.397,74,0.221,3.07,81,1.668,185,31,1.35
bread wheat germ,9.900066667,277,10.15,3.1,51.3,3.935,2.2,0,0.0875,0.07,0.25,0.54,161,4.523,0.377,0.3505,94.5,0.203,3.665,33,1.052,148,28.85,1.22
bread white,5.342395344,279.6666667,8.441666667,3.871666667,51.83666667,2.453333333,1.916666667,5.666666667,0.060833333,0.028333333,0.033333333,0.113333333,149.1666667,3.986666667,0.332166667,0.445166667,96.5,0.121666667,3.241666667,22.5,0.4395,101.5,20,0.658333333
bread whole wheat,5.7,285.25,11.58,4.7175,50.4175,4.5425,6.975,0,0.212,0,0,1.2225,65.25,4.524,0.22575,0.33475,90,0.357,2.9825,86,2.16675,226.75,39.85,1.7675
bread crumbs dry,8.475714286,389,13.74,5.39,70.235,5.97,4.7,5,0.146,0.35,1.35,0.17,173.5,6.3975,0.409,0.964,182.5,0.2495,4.875,44.5,0.9515,171,24.95,1.44
bread sticks plain,3.4,412,12,9.5,68.4,1.26,3,0,0.073,0,0,1.01,255,5.281,0.553,0.589,22,0.188,4.28,32,0.557,121,37.5,0.88
bread stuffing bread,10.24,281.5,7.1,6,48.95,5.19,3.05,59,0.096,0.015,0,0.89,139.5,3.6205,0.2555,0.366,64.5,0.155,2.45,26,0.3815,91.5,48.9,0.605
