Item,Footprint,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
bread stuffing cornbread,7.55,284,6.45,6.5,49.3,4.345,8.6,43,0.092,0.01,2.15,0.425,214,3.06,0.22,0.313,52,0.1485,2.095,28.5,0.3215,73.5,30.15,0.49
breakfast tart low fat,11.8655,372,3.99,5.99,76.8,4.87,1.5,285,0.38,0,3.8,0.53,133,3.8,0.549,0.285,44,0.073,3.42,44,0,93,12.9,0.28
cake angelfood,9.288191958,257.5,6,0.55,58.25,15.255,0.85,0,0.0185,0.045,0,0.005,43,0.527,0.3465,0.097,112,0.073,0.375,10,0.074,278,11.3,0.1
cake boston cream pie,8.647,252,2.4,8.5,42.9,36.11,1.4,24,0.026,0.16,0.2,0.15,18,0.191,0.27,0.408,23,0.042,0.38,6,0.05,49,4.1,0.16
cake carrot,8.2,415,5.1,9.8,79.2,0,0,97,0.079,0.04,1.2,0,104,2.205,0.17,0.265,172,0.05,1.8,8,0.528,247,14.9,0.2
cake cherry fudge with chocolate frosting,8.18,264,2.4,12.5,38,32.94,1.2,77,0.06,0.21,13.6,0.75,13,0.7,0.19,0.03,48,0.057,1.1,19,0.067,105,3.4,0.28
cake chocolate,14.27333333,383.6666667,4.46,14.43,62.13333333,26.49666667,2.033333333,0.666666667,0.024,0.22,0.133333333,1.66,49,1.442333333,0.146666667,0.117,74.33333333,0.231666667,2.523333333,34.66666667,0.274,176.3333333,7.666666667,0.683333333
cake fruitcake,14.07556667,324,2.9,9.1,61.6,27.42,3.7,7,0.046,0.01,0.5,0.9,32,0.791,0.099,0.05,33,0.05,2.07,16,0.22,52,2,0.27
cake gingerbread,18.85333333,396.5,4.15,15.1,61.9,23.31,0.85,7,0.1155,0.03,0.15,0.1,64,2.144,0.201,0.265,82.5,0.2205,3.79,45.5,0.6195,140,9.2,0.375
cake marble,3.228266612,416,3.4,11.7,79.5,35.71,2.9,1,0.025,0,0,0.85,55,1.546,0.13,0.181,76,0.135,1.62,18,0.139,275,2.6,0.35
cake pineapple upside down,1.7425,319,3.5,12.1,50.5,0,0.8,62,0.034,0.08,1.2,0,39,1.19,0.156,0.153,120,0.087,1.48,13,0.35,82,9.4,0.31
cake pound,27.20904498,366.4,5.484,14.532,53.716,19.294,0.94,33.8,0.0248,0.128,0.04,0.132,37.2,0.9224,0.217,0.109,54,0.0528,1.454,11.4,0.1232,134.6,6.82,0.422
cake shortcake,18.00556969,346,6.1,14.2,48.5,0,0,18,0.03,0.07,0.2,0,83,2.573,0.272,0.311,205,0.076,2.54,16,0.33,143,17,0.48
cake snack cakes,3.751428571,396.75,3.63,12.9025,66.55,34.5475,8.5,3,0.13,0.1675,0.5,0.9975,71,2.22325,0.22775,0.19875,128,0.24075,2.5775,55,0.1975,180,15.65,1.0925
cake sponge,1.432598057,293.5,6.35,3.5,59.35,18.33,0.25,60.5,0.0555,0.305,0,0.12,62,1.568,0.285,0.201,56,0.059,2.15,10,0.1885,118.5,13.8,0.55
cake white,1.437,391.2,4.12,10.02,72.38,28.366,0.64,5.4,0.0208,0.044,0.06,0.064,73.2,1.6772,0.17,0.1926,80,0.059,1.31,10.4,0.266,202.6,5.78,0.29
cake yellow,5.786150705,394.8571429,4.035714286,11.52285714,69.81142857,24.07285714,0.971428571,11.85714286,0.039285714,0.095714286,0.057142857,1.054285714,76.71428571,1.362428571,0.153571429,0.159714286,122.2857143,0.073428571,1.454285714,11,0.199571429,227.8571429,4.8,0.322857143
cake mix angelfood,4.025,366,6.4,0.27,86.13,61.33,0.5,0,0.009,0.05,0,0,60,0.267,0.267,0,153,0.094,0.27,11,0.142,337,12.6,0.16
cake mix pudding,4.025,350,4.17,3.24,81.25,42.13,2.1,1,0.035,0,0,0.08,80,2.315,0.231,0.231,189,0.156,3.01,22,0.105,294,3.1,0.42
cheesecake prepared from mix no bake type,7.9325,274,5.5,12.7,35.5,0,1.9,96,0.052,0.31,0.5,0,38,0.493,0.263,0.121,172,0.029,0.47,19,0.12,234,4.7,0.46
cinnamon buns frosted includes honey buns,17.94,452,4.45,26.61,48.6,25.7,1.2,0,0.038,0.16,0.3,1.15,109,2.404,0.138,0.211,183,0.062,1.37,14,0.292,131,13,0.53
coffeecake cheese,3.49622331,339,7,15.2,44.3,0,1,86,0.058,0.34,0.1,0,53,0.682,0.125,0.105,59,0.052,0.64,15,0.172,101,13.3,0.59
coffeecake cinnamon with crumb topping,4.239098846,397.5,5.975,17.05,55.975,18.0125,1.75,27,0.037,0.125,0.25,0.08,80.5,1.6455,0.15725,0.2005,98,0.15475,1.505,20.25,0.4055,171.75,12.5,0.6025
coffeecake creme filled with chocolate frosting,4.1,331,5,10.8,53.8,0,2,37,0.041,0.2,0.1,0,58,0.84,0.074,0.08,38,0.07,0.51,15,0.19,75,14.4,0.44
coffeecake fruit,5.106728977,311,5.2,10.2,51.5,0,2.5,7,0.037,0.02,0.8,0,67,2.573,0.19,0.037,45,0.03,2.43,17,0.24,118,16.5,0.65
cookie butter or sugar,3.24822457,503,4.1,23.5,68.83,33.8,1.9,0,0.026,0.03,0,1.81,94,2.1,0.19,0.34,19,0.365,2.44,13,0,74,9,0.2
cookie chocolate,2.07,507,4.5,24.2,67.87,32,2.3,0,0.023,0.02,0,2.79,92,2.5,0.19,0.29,15,0.267,3,25,0,75,11.8,0.3
cookie vanilla with caramel,2.075,489,3.5,25.8,64.1,35.8,4.4,6,0.05,0.04,0.2,2.42,42,1.2,0.12,0.14,40,0.38,3.2,30,0.227,76,9.4,0.5
cookies animal,4.305,509,3,24.1,70.09,41.1,0.9,0,0.014,0,0,0.93,94,1.7,0.15,0.28,6,0.052,1.57,7,0,5,11.3,0.24
cookies animal crackers includes arrowroot,0.73,446,6.9,13.8,74.1,23.3,1.1,0,0.022,0.05,0,0.12,165,3.47,0.326,0.35,43,0.157,2.75,18,0.423,114,7,0.64
cookies brownies,2.812144286,415.2,4.134,16.496,66.536,15.068,3.48,39.4,0.0446,0.05,0.12,0.148,62,1.4532,0.1836,0.1756,23.4,0.2184,1.918,31.8,0.2534,86.2,7.06,0.586
cookies butter,3.16,467,6.1,18.8,68.9,10.12,0.8,162.5,0.036,0.36,0,0.29,65.5,1.755,0.203,0.218,29,0.2,1.255,12,0.17,102,4.2,0.38
cookies chocolate chip,2.095343049,473.4,4.888,22.763,65.072,18.069,1.69,30.5,0.0433,0.035,0.05,0.609,66.7,1.869,0.1955,0.2044,27.1,0.2633,2.888,35.1,0.4786,87.5,5.09,0.649
cookies chocolate sandwich,0.494625,467.8,4.116,21.08,69.954,39.432,3.56,0.8,0.024,0.022,0,1.852,80.4,2.4238,0.2116,0.2442,34,0.2788,6.194,34.6,0.3944,103.6,6.68,0.634
cookies chocolate wafers,0.6,433,6.6,14.2,72.7,37.43,3.4,3,0.051,0.09,0,0.72,75,2.858,0.266,0.203,31,0.463,4.01,53,0.696,132,5.7,1.09
cookies coconut macaroon,0.658,460,3.02,22.55,61.22,45.16,5.1,0,0.096,0,0,0.19,3,0.22,0.06,0.02,5,0.269,0.82,29,0,68,6.8,0.73
cookies fig bars,2.43,348,3.7,7.3,70.9,46.36,4.6,9,0.075,0.09,0.3,0.65,53,1.874,0.217,0.158,64,0.147,2.9,27,0.343,62,3.3,0.39
cookies fortune,7.35,378,4.2,2.7,84,45.42,1.6,1,0.013,0.01,0,0.03,105,1.84,0.13,0.182,12,0.06,1.44,7,0.19,35,2.9,0.17
cookies fudge,2.943543814,349,5,3.7,78.3,0,2.8,0,0.031,0.08,0.1,0,67,1.203,0.194,0.226,34,0.291,2.48,32,0.322,83,3.6,0.55
cookies gingersnaps,0.9975,416,5.6,9.8,76.9,19.92,2.2,0,0.098,0,0,0.97,145,3.235,0.293,0.2,77,0.305,6.4,49,1.555,83,5.1,0.55
