,Item,Footprint,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,Cluster_ID
64,bread multi grain includes whole grain,1.241734167,0.29444444444444445,0.22499157965644995,0.042300000000000004,0.5031928480204343,0.10419044513288765,0.3609756097560976,0.0,0.23693693693693693,0.0,0.0005263157894736842,0.05891719745222929,0.048,0.15398095238095239,0.03195121951219513,0.04335664335664337,0.017584793991440063,0.10111150950161348,0.154320987654321,0.37681159420289856,0.23486393250392204,0.036041732532405946,0.16958762886597936,0.14049586776859505,13
65,bread banana,2.713,0.3622222222222222,0.07241495453014482,0.105,0.6339254615116685,0.0,0.05365853658536586,0.10153256704980843,0.13513513513513511,0.0014084507042253522,0.008947368421052631,0.0,0.030720000000000004,0.055085714285714286,0.04878048780487806,0.02672882672882673,0.0035852492603906925,0.02581570455360344,0.08641975308641975,0.06763285024154589,0.02424027747818257,0.009168510907366425,0.06237113402061855,0.02892561983471074,16
66,bread boston brown,2.717,0.21666666666666667,0.08757157292017513,0.015,0.5027284337629165,0.03945866623186043,0.22926829268292684,0.023946360153256702,0.07387387387387387,0.00014084507042253522,0.0,0.05095541401273885,0.008960000000000001,0.04266666666666667,0.028048780487804882,0.002175602175602176,0.011950830867968975,0.02868411617067049,0.12962962962962965,0.3043478260869565,0.11830183266864222,0.017704710717673097,0.11288659793814432,0.04132231404958678,32
67,bread chapati or roti,0.885492222,0.33111111111111113,0.16082856180532165,0.08324999999999999,0.5369209334726577,0.04606228599380402,0.35609756097560974,0.0,0.24774774774774774,0.0,0.0,0.11385350318471336,0.014400000000000001,0.21695238095238098,0.04634146341463415,0.07770007770007771,0.011011837014057127,0.08623162423807816,0.16080246913580248,0.28502415458937197,0.17385730114734774,0.02703129939930446,0.20695876288659792,0.12851239669421488,4
68,bread cheese,0.66633,0.4533333333333333,0.17547995958235094,0.20829999999999999,0.5204922791129688,0.03391488667862384,0.10243902439024391,0.022988505747126436,0.04324324324324324,0.003380281690140845,0.0,0.23726114649681526,0.10176,0.12491428571428573,0.07390243902439025,0.0672882672882673,0.015365353973102968,0.030835424883470776,0.15370370370370373,0.08212560386473429,0.042449481134042205,0.018969332911792605,0.10206185567010309,0.07933884297520662,33
69,bread cornbread,2.230607143,0.3977777777777778,0.11489558773997978,0.1027,0.6877975153837224,0.14833686613402902,0.18658536585365856,0.014367816091954023,0.10225225225225225,0.0019718309859154933,0.0007894736842105263,0.026671974522292995,0.05840000000000001,0.08130476190476192,0.04640243902439025,0.03706293706293707,0.021255406329459107,0.026353531731803513,0.11481481481481483,0.10869565217391304,0.028125680806025233,0.0607809042048688,0.031443298969072164,0.04979338842975207,7
70,bread cracked wheat,1.970555556,0.28888888888888886,0.14651397777029299,0.039,0.574712643678161,0.0,0.2682926829268293,0.0,0.27387387387387385,0.00028169014084507044,0.0,0.0,0.04864,0.13984761904761905,0.05853658536585366,0.055633255633255635,0.007341224676038084,0.07959842237361062,0.1734567901234568,0.25120772946859904,0.15901158096932205,0.02418589946253557,0.13041237113402063,0.1024793388429752,32
71,bread egg,1.410825,0.33444444444444443,0.1684068710003368,0.063,0.5828398931847208,0.030327735203000167,0.11707317073170731,0.0632183908045977,0.05765765765765765,0.0014788732394366197,0.0,0.043789808917197456,0.08256000000000001,0.1836761904761905,0.10585365853658538,0.06394716394716395,0.016645800137528217,0.060953746862674796,0.19691358024691358,0.0966183574879227,0.06083265807323808,0.01762567183054063,0.16237113402061856,0.06818181818181818,30
72,bread french or vienna,1.169911429,0.35444444444444445,0.21892893230043783,0.021400000000000002,0.719029374201788,0.058535789988586336,0.15121951219512197,0.0,0.08648648648648648,0.0,0.0010526315789473684,0.030254777070063694,0.13888,0.20495238095238097,0.0902439024390244,0.06635586635586636,0.008024129297064883,0.05378271782000717,0.2388888888888889,0.1497584541062802,0.06645779423444312,0.019917799557382234,0.15309278350515462,0.08677685950413223,2
73,bread french or vienna includes sourdough,1.1465,0.3022222222222222,0.18103738632536207,0.0242,0.6023452920004645,0.07533018098809718,0.10731707317073172,0.0,0.09639639639639638,0.0,0.0,0.03343949044585987,0.10880000000000001,0.18350476190476192,0.10414634146341464,0.11033411033411035,0.008877760073348381,0.05449982072427393,0.24135802469135806,0.15458937198067632,0.06692172299000643,0.016598166297818528,0.14742268041237114,0.0859504132231405,6
