,Typology,Sub-typology,Item,n,mean,median,st.dev.,min,max,MAD,Q1,Q3,CV,skewness,kurtosis,Shapiro Wilk test P,FLAG 1 (SIZE),FLAG 2 (outlier),FLAG 3 (adherence to the normal distribution),Suggested CF value to represent food commodity
75,SWEETS,-,cakes and croissant,14,2.230607143,2.139,0.3772182098,1.64,3.093,0.228,1.960625,2.47425,0.1691101057,0.661288,2.808992,0.43061,G,G,G,ITEM
76,SWEETS,-,cocoa cakes and croissant,9,1.970555556,1.9365,0.3676672291,1.445,2.623,0.2235,1.833,2.16,0.186580494,0.2001338,2.219832,0.58348,G,G,G,ITEM
77,"TOMATO PUREE,PEELED, CHOPPED",-,tomato chopped,4,1.410825,1.47275,0.1601697283,1.14,1.5578,0.04265,1.389375,1.4942,0.1135291254,-0.9864888,2.231918,0.10945,Y,G,G,ITEM
78,"TOMATO PUREE,PEELED, CHOPPED",-,tomato peeled,3,1.275166667,1.2989,0.03965226629,1.2193,1.3073,0.0084,1.2591,1.3031,0.0310957519,-0.6833817,,0.16535,R,G,R,TYPOLOGY
79,"TOMATO PUREE,PEELED, CHOPPED",-,tomato puree,7,1.169911429,1.0311,0.217698064,0.9598,1.56438,0.0713,0.9915,1.32555,0.1860808081,0.6315826,1.897705,0.10796,Y,G,G,ITEM
80,TOMATO SAUCE,-,tomato & basil,4,1.1465,1.1415,0.1174191211,1.018,1.285,0.111,1.03675,1.25125,0.1024152823,0.0376184,1.093955,0.22006,Y,G,G,ITEM
81,TOMATO SAUCE,-,tomato arrabbiata,4,1.25525,1.244,0.1433080162,1.071,1.462,0.112,1.1625,1.33675,0.1141669119,0.2042292,1.776516,0.97476,Y,G,G,ITEM
82,VEGETABLES CANNED,-,carrots canned,1,1.6,1.6,-,1.6,1.6,-,1.6,1.6,-,-,-,n.a.,R,G,R,TYPOLOGY
83,VEGETABLES CANNED,-,corn canned,1,1.355,1.355,-,1.355,1.355,-,1.355,1.355,-,-,-,n.a.,R,G,R,TYPOLOGY
84,VEGETABLES FROZEN,-,carrots frozen,1,0.267,0.267,-,0.267,0.267,-,0.267,0.267,-,-,-,n.a.,R,G,R,TYPOLOGY
85,VEGETABLES FROZEN,-,zucchini frozen,1,1.35,1.35,-,1.35,1.35,-,1.35,1.35,-,-,-,n.a.,R,G,R,TYPOLOGY
86,VEGETAL CREAM* (soy cream),-,soy cream,1,1.62,1.62,-,1.62,1.62,-,1.62,1.62,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
87,VEGETAL MILK,-,almond milk,2,0.4179027998,0.4179027998,0.02377179081,0.394131009,0.4416745906,0.02377179081,0.4060169044,0.4297886952,0.05688354043,-,-,-,R,G,R,TYPOLOGY
88,VEGETAL MILK,-,coconut milk,2,0.4126201796,0.4126201796,0.02377179081,0.3888483888,0.4363919704,0.02377179081,0.4007342842,0.424506075,0.0576117989,-,-,-,R,G,R,TYPOLOGY
89,VEGETAL MILK,-,rice milk,3,0.7975333333,0.6602,0.2069327964,0.6424,1.09,0.0178,0.6513,0.8751,0.2594660157,0.7031848,,0.06704,R,G,R,TYPOLOGY
90,VEGETAL MILK,-,soy milk,22,0.854880238,0.78,0.261165842,0.278,1.4,0.135868991,0.7,0.94801,0.3054999173,0.425889,3.182689,0.04328,G,G,Y,ITEM
91,VEGETAL PROTEINS,-,quorne,2,2.5,2.5,0.1,2.4,2.6,0.1,2.45,2.55,0.04,-,-,-,R,G,R,TYPOLOGY
92,VEGETAL PROTEINS,-,soy burger,1,1.48,1.48,-,1.48,1.48,-,1.48,1.48,-,-,-,n.a.,R,G,R,TYPOLOGY
93,VEGETAL PROTEINS,-,tofu,4,2.333,2.27,0.9575526095,1.072,3.72,0.734,1.768,2.835,0.4104383238,0.180831,1.856598,0.9786,Y,G,G,ITEM
94,VEGETAL YOGURT (soy yogurt),-,soy yogurt,1,1.36,1.36,-,1.36,1.36,-,1.36,1.36,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
95,WINE,-,wine red,17,1.020266667,0.873,0.4773693059,0.3181,2.13,0.3826,0.7084,1.38,0.4678868001,0.5808094,2.608769,0.52395,G,G,G,ITEM
96,WINE,-,wine white,3,0.7441,0.4444,0.426104549,0.4412,1.3467,0.0032,0.4428,0.89555,0.5726441997,0.7070769,,0.00581,R,G,R,TYPOLOGY
97,YEAST COMPRESSED*,-,yeast compressed,1,0.824,0.824,-,0.824,0.824,-,0.824,0.824,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
98,YEAST DRIED*,-,yeast dried,1,3.294,3.294,-,3.294,3.294,-,3.294,3.294,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
99,YEAST LIQUID*,-,yeast liquid,1,0.503,0.503,-,0.503,0.503,-,0.503,0.503,-,-,-,n.a.,R,n.a,R,ITEM matching with TYPOLOGY
100,BEEF BONE FREE MEAT*,,beef bone free meat,183,27.72327180145614,25.751,12.715802933150405,2.27,109.35251798561151,4.276,21.844,31.0,0.458668912681602,2.884745,17.53974,0,G,n.a,R,ITEM
101,BEEF MEAT WITH BONE*,-,beef meat with bone,172,19.54409099,17.9582,8.218663747,7.507514815,76.0427,2.877047298,15.46962456,21.5877,0.42051911,3.749,23.443,0,G,G,R,ITEM
102,BUFFALO BONE FREE MEAT*,-,buffalo bone free meat,3,71.39276803,78.80017544,11.95219526,54.53116959,80.84695906,2.04678362,66.66567252,79.82356725,0.1674146498,-0.6915849,,0.1336,R,n.a,R,ITEM matching with TYPOLOGY
103,BUTTER*,-,butter,11,9.900066667,8.48,6.664412301,1.0474,25.0,1.24,7.22,9.55,0.6731684266,1.154,3.413,0.02,G,G,Y,ITEM
104,CHEESE FRESH,-,cream,8,5.342395344,5.45,2.204580568,2.1,8.31,1.945833333,3.858122066,7.135416667,0.4126576986,-0.21,1.751,0.49,Y,G,G,ITEM
105,CHEESE FRESH,-,mascarpone,1,5.7,5.7,-,5.7,5.7,-,5.7,5.7,-,-,-,n.a.,R,G,R,TYPOLOGY
106,CHEESE FRESH,-,mozzarella,14,8.475714286,8.2,1.428744275,6.27,11.95,1.01,7.4025,9.3,0.168569188,0.726,3.236,0.652,G,G,G,ITEM
107,CHEESE FRESH,-,ricotta,1,3.4,3.4,-,3.4,3.4,-,3.4,3.4,-,-,-,n.a.,R,R,R,TYPOLOGY
108,CHEESE FRESH,-,stracchino,1,4.92,4.92,-,4.92,4.92,-,4.92,4.92,-,-,-,n.a.,R,G,R,TYPOLOGY
109,CHEESE HARD & SEMI-HARD,-,asiago,1,10.24,10.24,-,10.24,10.24,-,10.24,10.24,-,-,-,n.a.,R,G,R,TYPOLOGY
110,CHEESE HARD & SEMI-HARD,-,camembert,2,7.55,7.55,0.55,7.0,8.1,0.55,7.275,7.825,0.07284768212,-,-,-,R,G,R,TYPOLOGY
111,CHEESE HARD & SEMI-HARD,-,ceddar,4,11.8655,11.207,3.065265853,8.7,16.348,2.162,9.2175,13.855,0.2583343182,0.388,1.539,0.503,Y,G,G,ITEM
112,CHEESE HARD & SEMI-HARD,-,cheese,27,9.288191958,8.933333333,2.532544481,5.333333333,14.686,1.206666667,8.11,10.29,0.2726628059,0.578,2.814,0.016,G,G,Y,ITEM
113,CHEESE HARD & SEMI-HARD,-,cheese semi-hard,2,8.647,8.647,0.147,8.5,8.794,0.147,8.5735,8.7205,0.01700011565,-,-,-,R,G,R,TYPOLOGY
114,CHEESE HARD & SEMI-HARD,-,emmental,1,8.2,8.2,-,8.2,8.2,-,8.2,8.2,-,-,-,n.a.,R,G,R,TYPOLOGY
115,CHEESE HARD & SEMI-HARD,-,goat cheese,3,8.18,8.35,0.3365511353,7.71,8.48,0.13,8.03,8.415,0.04114317057,-0.629,,0.302,R,G,R,TYPOLOGY
116,CHEESE HARD & SEMI-HARD,-,grana padano,3,14.27333333,15.34,2.79801517,10.44,17.04,4.9,12.89,16.19,0.1960309554,-0.516,,0.541,R,G,R,TYPOLOGY
117,CHEESE HARD & SEMI-HARD,-,parmigiano reggiano,3,14.07556667,12.54,4.776351115,9.1467,20.54,3.3933,10.84335,16.54,0.3393363286,0.449,,0.562,R,G,R,TYPOLOGY
118,CHEESE HARD & SEMI-HARD,-,pecorino,3,18.85333333,17.15,2.415951618,17.14,22.27,0.01,17.145,19.71,0.1281445342,0.707,,0.534,R,G,R,TYPOLOGY
