,FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,Item,Footprint,Cluster_ID
1248,okra raw,0.036585366,0.022546729,0.0019,0.0745,0.014829659,0.060150376,0.0012,0.026875,0,0.009583333,0.001807229,0.0384,0.0125,0.008823529,0.017857143,0.013999545,0.014490827,0.005016181,0.080168776,0.006304,0.009642744,0.003363767,0.030933333,carrots canned,1.6,117
1249,olive garden cheese ravioli with marinara sauce,0.176274945,0.086915888,0.0561,0.1964,0.048597194,0.020676692,0.0016,0.01125,0.004507042,0,0.003012048,0,0.0219125,0.034852941,0.013392857,0.020657865,0.010103696,0.00776699,0.032348805,0.00144,0.020392033,0.090341182,0.04,pesto,2.713,4
1250,olive garden chicken parmigiana without pasta,0.233924612,0.179088785,0.1123,0.1228,0.026853707,0.016917293,0.001233333,0.022875,0.004788732,0,0.01064257,0,0.06975,0.023970588,0.005089286,0.016218985,0.008242489,0.004692557,0.035161744,0.001032,0.037306355,0.115329169,0.045866667,chicken,3.24822457,115
1251,olive garden lasagna classico,0.203991131,0.131775701,0.1084,0.1033,0.035370741,0.030075188,0.002,0,0.007746479,0.000291667,0.005756359,0,0.024125,0.040147059,0.014285714,0.036023219,0.008109545,0.006067961,0.030942335,0.000904,0.028928233,0.073041807,0.069866667,olive oil,3.837506911,4
1252,olive garden spaghetti with meat sauce,0.134146341,0.067757009,0.0328,0.1719,0.016733467,0.031954887,0.000333333,0.01225,0.001830986,0.00025,0.003882195,0,0.021125,0.021029412,0.008035714,0.002560892,0.01302845,0.008333333,0.025316456,0.001768,0.009484666,0.080730418,0.036266667,pesto,2.713,79
1253,olive loaf pork,0.260532151,0.137850467,0.165,0.092,0,0,0.002,0.02875,0.017746479,0,0.00167336,0.00128,0.0229375,0.038235294,0.026339286,0.018609151,0.006647168,0.004368932,0.026722925,0.00028,0.020075877,0.078808265,0.0736,pork sausages,17.94,31
1254,olives pickled,0.16075388,0.01203271,0.1532,0.0384,0.005410822,0.062030075,0.000666667,0.003875,0,0,0.025502008,0.00192,0.0029625,0.001029412,0.001875,0.00887776,0.015953204,0.003964401,0.015471167,0,0.000632311,0.004324844,0.002133333,olives,0.586405556,120
1256,on the border cheese enchilada,0.300443459,0.136331776,0.1774,0.162,0.028957916,0.033834586,0.000333333,0.015625,0.010140845,0,0.005957162,0,0.00975,0.032352941,0.005803571,0.050022763,0.009040149,0.005744337,0.042194093,0.001032,0.045526399,0.076886112,0.100266667,cheese,9.288191958,5
1257,on the border cheese quesadilla,0.436807095,0.197079439,0.255,0.2425,0.020440882,0.041353383,0,0.0075,0.011549296,0,0.004551539,0,0.0248125,0.05,0.020535714,0.073753699,0.008109545,0.012297735,0.033755274,0.001968,0.05896301,0.113407016,0.123733333,cheese,9.288191958,69
1258,on the border mexican rice,0.216186253,0.041588785,0.0486,0.3415,0.013827655,0.020676692,0.0001,0,0.001267606,0.000125,0.00394913,0,0.034375,0.012647059,0.025,0.00665832,0.009704866,0.009546926,0.021097046,0.0028,0.011697755,0.035079289,0.020266667,rice,2.535572141,96
